"input"	"briefDescription"
"WBGene00001520"	"The gas-1 gene encodes a 49 kDa subunit of mitochondrial complex I that is required for oxidative phosphorylation, resistance to volatile anesthetics, fecundity, and normal lifespan; gas-1 is expressed in the nematode neuromuscular system; its subcellular distribution appears to be mitochondrial; drug effects on mutants versus wild-type indicate that gas-1 functions at least partially through presynaptic effects; gas-1 mutants have strongly reduced Complex I-dependent metabolism in mitochondria, while Complex II-dependent metabolism is conversely increased in mutants; gas-1 mitochondria look structurally normal."
"WBGene00001397"	"fat-5 encodes a delta-9 fatty acid desaturase that is predicted to be mitochondrial; when expressed heterologously in S. cerevisiae, FAT-5 rescues the fatty acid auxotrophy of the yeast delta-9 desaturase mutant ole1."
"WBGene00001337"	"ers-2 encodes a predicted mitochondrial glutamyl-tRNA synthetase (GluRS), a class I aminoacyl-tRNA synthetase that catalyzes the attachment of glutamate to its cognate tRNA and is thus required for protein biosynthesis; ERS-2 contains, at its C-terminus, six tandemly repeated WHEP-TRS domains that have been predicted to function as general RNA-binding domains that may act as cis tRNA-binding cofactors."
"WBGene00001336"	"qars-1 encodes a glutaminyl (Q) tRNA synthetase that affects growth and embryonic and larval viability in large-scale RNAi screens; it is predicted to be mitochondrial."
"WBGene00015391"	"sdha-1 is orthologous to the human gene SUCCINATE DEHYDROGENASE COMPLEX, SUBUNIT A, FLAVOPROTEIN (SDHA; OMIM:600857), which when mutated leads to complex II mitochondrial respiratory chain deficiency presenting as Leigh syndrome."
"WBGene00015248"	"mai-2/B0546.1 is orthologous to mitochondrial intrinsic ATPase inhibitor protein (IF(1)), which blocks reverse action (ATP hydrolysis) by F(0)F(1)-ATPase when its (normally required) proton gradient is lost; MAI-2 has a mitochondrial import signal at its N-terminus, and is transported to yeast mitochondria; MAI-2 can inhibit yeast F(0)F(1)-ATPase, and this inhibition is pH-dependent; MAI-2's tertiary structure is dominated by beta-strands and random loops."
"WBGene00015297"	"sco-1 is orthologous to the human gene SCO (CYTOCHROME OXIDASE DEFICIENT, YEAST) HOMOLOG 1 (SCO1; OMIM:603644), which when mutated leads to early-onset hepatic failure; the SCO-1 protein is predicted to be mitochondrial with 68% accuracy."
"WBGene00001170"	"egl-1 encodes a novel protein that contains a region similar to the BH3 (Bcl-2 homology region 3) domain of mammalian cell death activators; EGL-1 functions as an upstream activator in the general programmed cell death pathway and positively regulates programmed cell death by interacting directly with CED-9 to induce CED-4 release from CED-4/CED-9 complexes and ultimately activate the CED-3 caspase; EGL-1 also induces WAH-1/apoptosis-inducing factor release from the mitochondria; in hermaphrodites, egl-1 is transcriptionally repressed by TRA-1, permitting survival of the HSN neurons required for egg laying; egl-1 message is detected at low abundance in embryonic and L1 larval mRNA preparations, but not in mRNA preparations from later larval stages or young adults."
"WBGene00001134"	"eat-3 encodes a mitochondrial dynamin family member, closely related to bacterial dynamin-like proteins, that is orthologous to human Opa1 (OMIM:203740, mutated in autosomal dominant optic atrophy) and budding yeast Mgm1; eat-3 is required for proper regulation of inner mitochondrial membrane fusion and normal mitochondrial function (oxidative phosphorylation); accordingly, eat-3 is also required for normal body size, growth rates, locomotion, and reproductive levels; eat-3 promoter fusions are expressed at high levels in the intestine, muscles, and neurons, with lower levels seen in other cell types; by similarity to its mammalian and yeast orthologs, EAT-3 is predicted to localize to the mitochondrial intermembrane space."
"WBGene00001153"	"acbp-2/ech-4 encodes a highly conserved protein containing a functional acyl-CoA-binding binding domain required for protein stability and ligand binding; previously described as containing an enoyl-CoA hydratase/isomerase (ECH) domain and a predicted N-terminal mitochondrial targeting signal; loss of ACBP-2/ECH-4 function affects B-oxidation of unsaturated fatty acids in vivo; in acbp-2 mutants several genes encoding involved in peroxisomal and mitochondrial B-oxidation are upregulated; contains 10% less triglycerides and 40% fewer lipid droplets; loss of ACBP-2 function increased lipid chain unsaturation by 1.25 times; ACBP-2 is transcriptionally regulated by nuclear hormone receptor (NHR-49); ACBP::GFP is expressed in intestine and in hypodermis of adult animals."
"WBGene00001151"	"ech-2 encodes an enoyl-coenzyme A hydratase, an enzyme involved in mitochondrial beta-oxidation of fatty acids."
"WBGene00008117"	"gsr-1 encodes a glutathionine reductase orthologous to human mitochondrial glutathione reductase (GSR; OMIM:138300); GSR deficiency has been associated with hemolytic anemia; loss of gsr-1 activity, together with that of trxr-1, results in molting defects characterized by a failure to remove old cuticle and reduced, disulfide groups in the cuticle that remain oxidized; gsr-1 expression is reduced in dauer larvae."
"WBGene00017763"	"crls-1 encodes a cardiolipin synthase; by homology, CRLS-1 is predicted to catalyze cardiolipin biosynthesis from phosphatidylglycerol and cytidinediphosphate-diacylglycerol, and loss of crls-1 activity results in reduced levels of cardiolipin and elevated levels of phosphatidylglycerol; in C. elegans, crls-1 activity is required for normal germ cell mitochondrial membrane potential and cristae morphology, as well as for germ cell proliferation."
"WBGene00012166"	"nuo-6 encodes the C. elegans ortholog of the NDUFB4/B15 subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I)."
"WBGene00001028"	"This gene encodes a protein containing a DnaJ ('J') domain that is predicted to be mitochondrial."
"WBGene00001040"	"This gene encodes a protein containing a DnaJ ('J') domain that is predicted to be mitochondrial."
"WBGene00001093"	"drp-1 encodes a dynamin-related protein, orthologous to Dnm1p in S. cerevisiae and DRP1 in mammals, that is required for severing of the mitochondrial outer membrane during mitochondrial division."
"WBGene00019061"	"F58F12.1 encodes the delta subunit of the soluble, catalytic F1 portion of ATP synthase (mitochondrial respiratory chain [MRC] complex V); RNAi experiments indicate that F58F12.1 activity is essential for embryonic and larval development, as well as for reproduction and normal rates of growth and development."
"WBGene00045095"	"mrpr-1 encodes the RNA component of the endoribonuclease RNase MRP; RNAse MRP cleaves mitochondrial RNA in mitochondrial DNA synthesis, nucleolar pre-rRNA in ribosome synthesis, and at least one mRNA (CLB2) involved in cell-cycle regulation; MRP shares several protein subunits with the endoribonuclease  RNAse P, which processes tRNA."
"WBGene00012031"	"T25G3.4 encodes a putative mitochondrial glycerol-3-phosphate dehydrogenase, paralogous to Y50E8A.6 and orthologous to human GPD2 (OMIM:138430, mutated in type II diabetes mellitus); T25G3.4 transcripts are not obviously enriched during oogenesis, but T25G3.4 is predicted to be coexpressed in an operon with chs-1 and T25G3.3; such coexpression, if real, may simply reflect all three genes being required for oogenesis, rather than some more detailed functional connection; T25G3.4 has no obvious function in mass RNAi assays."
"WBGene00019264"	"H35B03.2 encodes an ortholog of Rpp1 (Rpp30), a protein subunit shared by the endoribonucleases RNase MRP and RNAse P; RNAse MRP cleaves mitochondrial RNA in mitochondrial DNA synthesis, nucleolar pre-rRNA in ribosome synthesis, and at least one mRNA (CLB2) involved in cell-cycle regulation; RNAse P cleaves tRNA precursors to produce their mature 5' end; H35B03.2 is evolutionarily ubiquitous among eukaryotes."
"WBGene00003831"	"nuo-1 encodes a encodes a 51 kDa subunit of mitochondrial complex I that is required for oxidative phosphorylation, resistance to volatile anesthetics, and progression through development; nuo-1 is orthologous to human NDUFV1 (OMIM:161015, mutated in Leigh syndrome); nuo-1(ua1) induces a developmental arrest at the third larval (L3) stage that blocks reproduction, and thus is lethal to a population homozygous for nuo-1(ua1); yet arrested L3 nuo-1(ua1) animals have an individual lifespan significantly longer than normal."
"WBGene00007129"	"B0272.3 encodes a 3-hydroxyacyl-CoA dehydrogenase; by homology, the product of B0272.3 is predicted to function in mitochondrial fatty acid metabolism by catalyzing the NAD+-dependent oxidation of short-chain hydroxyacyl CoAs; large-scale expression studies indicate that B0272.3 is widely expressed."
"WBGene00009944"	"mtcu-2 encodes a protein orthologous to yeast Mto1p; by homology, nuclear-encoded MTCU-2 is predicted to function together in a complex with MTCU-1 to catalyze the 5-carboxymethylaminomethyl modification of the wobble uridine in mitochondrial tRNAs and thus, promote mitochondrial protein synthesis and respiratory function."
"WBGene00009992"	"F53F4.10 is orthologous to the human gene NADH-ubiquinone oxidoreductase flavoprotein 2 (NDUFV2; complex I of the respiratory chain); F53F4.10 protein is predicted to be mitochondrial."
"WBGene00007114"	"mttu-1 encodes a mitochondrial tRNA 2-thiouridylase orthologous to human TRMU (tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase); by homology, nuclear-encoded MTTU-1 is predicted to catalyze the 2-thiolation of uridine at the wobble position (U34) of mitochondrial tRNAs and thereby promote mitochondrial protein synthesis and respiratory function."
"WBGene00007001"	"tufm-2 encodes the C. elegans ortholog of the mitochondrial TU elongation Factor (EF-Tu); loss of tufm-2 activity activates the mitochondrial unfolded protein response."
"WBGene00007057"	"ant-1.2 encodes an ortholog of the human adenine nucleotide translocase ANT genes, the other ANT genes in C. elegans include ant-1.1, ant-1.3 and ant-1.4; by homology, ANT-1.2 is predicted to mediate the exchange of ATP generated in the mitochondria for cytosolic ADP; ANT-1.2 GFP fusion protein is expressed in the seam cells in the larval stage, and in intestine, pharynx and head neurons throughout development; ANT-1.2 localizes to mitochondria."
"WBGene00044083"	"tin-9.2 encodes two disjoint protein products from a dicistronic mRNA: 1) one of two C. elegans members of the Tin9 family of mitochondrial import proteins and, 2) a predicted Rrp41 subunit of the exosomal 3'-5' exoribonuclease complex (B0564.1); TIN-9.2 is required for normal fertility, body size, time of reproductive onset, and distal tip cell migration and somatic gonad development; TIN-9.2 localizes to mitochondria."
"WBGene00015894"	"acdh-2 encodes a short-chain acyl-CoA dehydrogenase; ACDH-2 is predicted to be a mitochondrial enzyme that catalyzes the first step of fatty acid beta-oxidation and thus plays a key role in energy production; steady-state acdh-2 mRNA levels are under the control of the MDT-15 mediator complex subunit; in addition, gene expression studies indicate that acdh-2 expression is downregulated in fasted animals; loss of acdh-2 activity via large-scale RNAi experiments does not result in any obvious defects."
"WBGene00007233"	"C01G10.6 encodes a predicted secreted or transmembrane protein that is rich in asparagine and tyrosine residues and which displays some similarity to the Staphylococcal secretory antigen ssaA2 precursor and Saccharomyces cerevisiae Var1p, a mitochondrially encoded ribosomal protein."
"WBGene00009664"	"F43G9.1 encodes the C. elegans homolog of the alpha subunit of an NAD+-dependent mitochondrial isocitrate dehydrogenase; by homology, the product of F43G9.1 is predicted to catalyze the formation of alpha-ketoglutarate from isocitrate as part of the citric acid cycle."
"WBGene00044305"	"rad-8 encodes a protein with similarity to dehydrogenases/reductases that is orthologous to the human mitochondrial protein RTN4IP1 (reticulon 4 interacting protein 1); rad-8 was identified in screens for loci that when mutated result in abnormal radiation sensitivity; rad-8 mutant animals are hypersensitive to ultraviolet irradiation, methyl viologen (paraquat) treatment, high concentrations of oxygen (50% or greater), and pathogen infection; young adult rad-8 hermaphrodites produce many inviable embryos, but fertility increases as the animals age; rad-8 mutant animals are also long-lived at 16 degrees C, but not at 20 degrees C; a RAD-8::GFP fusion protein is widely expressed and seen in the neurons, pharynx, muscles, and intestine; a RAD-8::GFP fusion protein localizes to mitochondrion; increased oxygen sensitivity displayed by rad-8 mutants can be rescued by overexpression of human RTN4IP1."
"WBGene00003064"	"lpd-8 encodes a homolog of human and mouse HIRA-interacting protein-5; LPD-8 has C-terminal similarity to a domain of NifU observed in thioredoxin-like proteins and domains (COG0694), and is predicted to be mitochondrial on phylogenetic grounds."
"WBGene00003074"	"lars-2 encodes the ortholog of human leucyl amino-acyl tRNA synthetase (LARS); in C. elegans, lars-2 is required for normal mitochondrial structure and function, and acts downstream of daf-2 to control lifespan; lars-2 mutants show swollen, disorganized and sometimes fused mitochondria, and live much longer than wild-type worms; a lars-2 GFP translation fusion gene was ubiquitously expressed, with prominent expression in body-wall muscle and neurons and with subcellular localization in the mitochondria; being a tRNA synthetase that charges mitochondrial tRNAs for translation, lars-2 is predicted to specifically compromise mitochondrial electron transport and ATP synthesis, through it's effects on mitochrondrially encoded genes."
"WBGene00003124"	"mai-1 is homologous to mitochondrial intrinsic ATPase inhibitor protein (IF(1)), which blocks reverse action (ATP hydrolysis) by F(0)F(1)-ATPase when its (normally required) proton gradient is lost; MAI-1 lacks an obvious mitochondrial import signal at its N-terminus, and is not transported to yeast mitochondria; MAI-1 may be cytosolic in vivo, regulating cytosolic ATPase(s); MAI-1 can inhibit yeast F(0)F(1)-ATPase, but this inhibition is pH-independent; MAI-1's tertiary structure is dominated by beta-strands and random loops; mai-1 exists as the upstream  gene in an operon with gpd-2 and gpd-3."
"WBGene00003162"	"mdh-2 encodes a homolog of malate dehydrogenase that is predicted to be mitochondrial."
"WBGene00015776"	"dct-1 encodes a protein with similarity to the mammalian BNIP3 proteins that interact with Bcl-2 and the Adenovirus E1B 19kDa protein and that have been shown to have pro-apoptotic activity; loss of dct-1 activity via RNAi in daf-2 mutants and in gld-1; daf-2 doubly mutant animals indicates that dct-1 can function to regulate both lifespan and tumor cell proliferation; when expressed in mammalian cells, DCT-1 can: 1) induce delayed apoptosis and increase apoptosis when coexpressed with CED-3 (perhaps by increasing proteolyic processing of CED-3), 2) physically interact with CED-9 or the CED-3 prodomain when coexpressed, and 3) physically interact with both CED-9 and CED-3 when all three are coexpressed; chromatin immunoprecipitation experiments have demonstrated that the dct-1 promoter is bound in vivo by the forkhead transcription factor DAF-16; expression of DCT-1 in mammalian cells suggests that, like its mammalian orthologs, DCT-1 localizes to mitochondria via a predicted C-terminal transmembrane domain."
"WBGene00003225"	"mev-1 encodes the C. elegans ortholog of the succinate dehydrogenase cytochrome b560 subunit, an integral membrane protein that is a subunit of mitochondrial respiratory chain complex II (succinate-CoQ oxidoreductase); MEV-1 is required for oxidative phosphorylation, and mev-1 mutations result abnormal energy metabolism and increased sensitivity to oxidative stress and pathogen infection; a mev-1 deletion mutation also has a shortened lifespan; MEV-1 localizes to mitochondria."
"WBGene00015486"	"C05D11.9 encodes an ortholog of Pop1, a protein subunit shared by the endoribonucleases RNase MRP and RNAse P; RNAse MRP cleaves mitochondrial RNA in mitochondrial DNA synthesis, nucleolar pre-rRNA in ribosome synthesis, and at least one mRNA (CLB2) involved in cell-cycle regulation; RNAse P cleaves tRNA precursors to produce their mature 5' end; C05D11.9 is evolutionarily ubiquitous among eukaryotes."
"WBGene00015413"	"C04C3.3 encodes the C. elegans ortholog of the pyruvate dehydrogenase complex E1 beta subunit (PDHB); by homology to mammalian enzymes, the product of C04C3.3 is predicted to function in mitochondria to catalyze the irreversible decarboxylation of pyruvate to acetyl-CoA."
"WBGene00007684"	"C18E9.4 encodes the C. elegans ortholog of the NDUFB3/B12 subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I)."
"WBGene00014054"	"ZK669.4 is orthologous to the human gene DIHYDROLIPOAMIDE BRANCHED CHAIN TRANSACYLASE (E2 COMPONENT OF BRANCHED CHAIN KETO ACID DEHYDROGENASE COMPLEX; (DBT), which when mutated leads to maple syrup urine disease, type II (OMIM:248610); the ZK669.4 protein is predicted to be mitochondrial with 68% accuracy."
"WBGene00014020"	"ZK632.14 encodes an ortholog of Rpp25, a protein subunit shared by the endoribonucleases RNase MRP and RNAse P; RNAse MRP cleaves mitochondrial RNA in mitochondrial DNA synthesis, nucleolar pre-rRNA in ribosome synthesis, and at least one mRNA (CLB2) involved in cell-cycle regulation; RNAse P cleaves tRNA precursors to produce their mature 5' end; ZK632.14 may dissociate from the RNase MRP complex when it binds to ribosomal precursors."
"WBGene00007942"	"idh-2 encodes a predicted mitochondrial isocitrate dehydrogenase; by homology, IDH-2 is predicted to catalyze the formation of alpha-ketoglutarate from isocitrate as part of the citric acid cycle."
"WBGene00007993"	"C37E2.1 encodes the C. elegans homolog of the beta subunit of an NAD+-dependent mitochondrial isocitrate dehydrogenase; by homology, the product of C37E2.1 is predicted to catalyze the formation of alpha-ketoglutarate from isocitrate as part of the citric acid cycle."
"WBGene00021839"	"nduf-5 encodes the C. elegans ortholog of the NDUFS5/15 kDa subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I)."
"WBGene00007824"	"C30H6.7 encodes a dihydrolipoamide acetyltransferase that is the second enzyme (E2) of the mitochondrial pyruvate dehydrogenase complex; by homology, the product of C30H6.7 is predicted to function in the transfer of an acetyl group to coenzyme A to generate acetyl-CoA for the citric acid cycle."
"WBGene00007880"	"C33A12.1 encodes the C. elegans ortholog of the NDUFA5/B13 subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I)."
"WBGene00005662"	"srs-1 encodes a predicted mitochondrial seryl-tRNA synthetase (SerRS), a class II aminoacyl-tRNA synthetase that catalyzes the attachment of serine to its cognate tRNA and is thus required for protein biosynthesis; in C. elegans, SRS-1 activity is required for normal postembryonic morphology and rates of growth."
"WBGene00021355"	"Y37E3.17 encodes a putative mitochondrial dimethylglycine dehydrogenase  orthologous to human DMGDH; studies indicate that the elegans dehydrogenase is a phosphorylcholine (PCho)-modified protein; P-Cho modification of proteins seems to play a developmental role in nematodes, as interfering with it, causes viability and fertility defects."
"WBGene00021677"	"pgs-1 encodes a phosphatidylglycerophosphate (PGP) synthase; by homology, PGS-1 is predicted to catalyze the formation of phosphatidylglycerophosphate from cytidinediphosphate-diacylglycerol and glycerol 3-phosphate; in C. elegans, pgs-1 activity is required for normal germ cell mitochondrial membrane potential and cristae morphology, as well as for germ cell proliferation."
"WBGene00021562"	"nuo-5 is orthologous to human NADH-UBIQUINONE OXIDOREDUCTASE Fe-S PROTEIN 1 (NDUFS1; OMIM:157655), which when mutated leads to mitochondrial complex I deficiency."
"WBGene00050893"	"Y94A7B.11 encodes a small (69-residue) protein orthologous to human  C20orf52/ROMO1 and budding yeast Mgr2p; by orthology with  C20orf52/ROMO1, Y94A7B.11 is predicted to be a mitochondrial protein  inducing the synthesis of reactive oxygen species (ROS) from the  mitochondrial respiratory chain and (indirectly, via ROS production)  promoting cell division."
"WBGene00000933"	"dap-3 is an ortholog of mammalian death-associated protein 3 (DAP3), a mitochondrial ribosomal protein that promotes apoptosis."
"WBGene00000941"	"ddp-1 encodes the C. elegans ortholog of Saccharomyces cerevisiae Tim8p and human TIMM8A or deafness/dystonia peptide; DDP-1 is predicted to be part of a heterooligomeric complex that localizes to the mitochondrial intermembrane space and facilitates translocation of proteins from the cytosol to the inner mitochondrial membrane; in C. elegans, DDP-1 is required for normal mitochondrial morphology."
"WBGene00000967"	"dhs-3 encodes a member of the short-chain dehydrogenases/reductases family (SDR) predicted to be mitochondrial."
"WBGene00000968"	"dhs-4 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000966"	"dhs-2 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000976"	"dhs-13 encodes a short-chain dehydrogenase that is a member of the short-chain dehydrogenase/reductase (SDR) family of enzymes; DHS-13 is predicted to be mitochondrial."
"WBGene00000979"	"dhs-16 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000974"	"dhs-11 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000970"	"The dhs-6 locus is predicted to encode four transcripts derived from alternative splicing and alternative transcriptional initiation sites; the longest transcript is predicted to encode a member of the eukaryotic translation initiation factor family within its amino-terminal end, and is a member of both the SCP-2 sterol transfer family and short-chain dehydrogenase-reductase families within its carboxyl-terminal end; DHS-6 is predicted to be mitochondrial."
"WBGene00000989"	"dhs-26 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000988"	"dhs-25 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000982"	"dhs-19 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000985"	"dhs-22 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000986"	"dhs-23 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000983"	"dhs-20 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000990"	"dhs-27 encodes a short-chain dehydrogenase predicted to be mitochondrial."
"WBGene00000994"	"dic-1 encodes an ortholog of Drosophila CG3125 and human DEAD/H BOX 26 (DDX26, DICE-1; OMIM:604331; nuclear protein, lost or downregulated in non-small cell lung carcinomas); DIC-1 and its orthologs have an N-terminal von Willebrand factor (vWF) type A domain; DIC-1 is essential for normal mitochondrial morphology and function, particularly that of the mitochondrial cristae/inner membrane; dic-1 thus plays a role in oogenesis, apoptosis, embryonic and larval development, and locomotion; in C. elegans, DIC-1 is expressed ubiquitously and localizes to the cristae of the inner mitochondrial membrane."
"WBGene00000996"	"dif-1 encodes a putative mitochondrial solute carrier, orthologous to human SLC25A20 (OMIM:212138, mutated in carnitine-acylcarnitine translocase deficiency) that is required for the maintenance of embryonic tissue differentiation and viability; expressed throughout development and in the intestinal cells and hypodermis of the embryo."
"WBGene00000829"	"The ctb-1 gene resides on the mitochondrial chromosome, and encodes the cytochrome b protein of mitochondrial complex III; mutation of ctb-1 suppresses the slow embryonic development of isp-1 mutants, while enhancing their paraquat resistance."
"WBGene00000869"	"cyc-1 encodes a component of complex III ( cytochrome c reductase) required for normal ATP production; reduction of ATP production by cyc-1(RNAi) decreases growth rate and body size, slows behavior, and increases lifespan; cyc-1 encodes a protein predicted by Eisenberg and coworkers, with 52% accuracy, to be mitochondrial"
"WBGene00011543"	"T06E8.1 is orthologous to the human gene 1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 2 (LYSOPHOSPHATIDIC ACID ACYLTRANSFERASE, BETA) (AGPAT2; OMIM:603100), which when mutated leads to disease; T06E8.1 protein is predicted to be mitochondrial."
"WBGene00021021"	"W04B5.4 encodes a putative mitochondrial ribosomal protein L30 that inhibits DHC-1 in vivo; W04B5.4 is orthologous to human MRPL3; W04B5.4(RNAi) suppresses the lethality of conditional dhc-1 mutations, as well as the spindle length and cytokinesis defects of dhc-1(or195),   indicating that W04B5.4 negatively regulates dynein; W04B5.4 is required for embryonic and larval development in mass RNAi assays."
"WBGene00011897"	"scpl-4 encodes an ortholog of budding yeast TIM50 and human TIMM50 (OMIM:607381); by orthology, SCPL-4 is expected to be part of the mitochondrial inner membrane protein translocase; SCPL-4 is required for embryonic development and fertility in mass RNAi assays; SCPL-4 is distantly similar to FCP-1 and SCPL-1, -2, and -3."
"WBGene00013985"	"sec-16 encodes a scaffolding protein homologous to human SEC-16A (OMIM: 612854); SEC-16 directly interacts with TFG-1; SEC-16 localizes to endoplasmic reticulum exit sites with both TFG-1 and COPII machinery; levels of SEC-16 correlates with those of TFG-1, regardless of whether they were high or low SEC-16 requires TFG-1 to accumulate normally and TFG-1 requires SEC-16 for its localization on endoplasmic reticulum exit sites; normal assembly of large complexes containing SEC-16 and COPII subunits is facilitated by TFG-1 hexamers; SEC-16 on endoplasmic reticulum exit sites can continue to recruit COPII components in the absence of TFG-1, although to lower levels; Sec16 interacts with the N terminus of TFG in an evolutionarily conserved manner. SEC-16 is detectable at the two-cell stage of embryogenesis and expression continues throughout embryogenesis, punctated pattern in cytoplasm colocalizing with mitochondrial COX1."
"WBGene00013878"	"atfs-1 encodes a bZip transcription factor; ATFS-1 is required for the mitochondrial unfolded protein response (UPRmt); in wild-type animals, ATFS-1 is imported into the mitochondria and degraded, but in response to perturbed mitchondrial protein folding and decreased mitochondrial import efficiency, some ATFS-1 accumulates in the cytosol and then, traffics to the nucleus."
"WBGene00000550"	"clu-1 encodes an ortholog of CLU1/TIF31 in S. cerevisiae, which directs proper cytoplasmic distribution of mitochondria and physically interacts with eukaryotic translation initiation factor 3 (eIF3); worm CLU-1 may be required for the proper distribution of mitochondria."
"WBGene00000423"	"ced-9 encodes the sole C. elegans homolog of the mammalian cell-death inhibitor Bcl-2; during development, ced-9 activity is essential for preventing cells from undergoing programmed cell death; ced-9 also appears to have proapoptotic activity; CED-9 functions by binding and repressing the activity of CED-4, a protein similar to human APAF-1 and positive regulator of CED-3 caspase activity; CED-9 localizes to the mitochondrial outer membrane, although this localization is not essential for CED-9 to regulate apoptosis."
"WBGene00000371"	"cco-1 encodes the ortholog of the nuclear-encoded cytochrome c oxidase-1 subunit Vb/COX4, a component of the electron transport chain in mitochondria; knock-down of cco-1 via RNA interference in specific tissues like body wall muscle decreases life span, whereas knock-down in the nervous system and intestine increases life-span; the effects of cco-1 on life span indicate that the electron transport chain functions in a tissue-specific manner to affect the aging process, and studies show that this effect is dependent on the mitochondrial unfolded protein response."
"WBGene00000764"	"coq-4 encodes an ortholog of S. cerevisiae COQ4; while COQ-4 is conserved between eukaryotes and bacteria, its biochemical function is unknown; by orthology, COQ-4 is predicted to peripherally associate with the matrix face of the mitochondrial inner membrane, in a complex with COQ-3 (and perhaps COQ-6), and to be required to maintain a steady-state level of CLK-1/COQ-7 protein; COQ-4 is required for ubiquinone (coenzyme Q9) biosynthesis and for normally short lifespan; coq-4(RNAi) animals have reduced levels of coenzyme Q9 and superoxide, and have abnormally long lifespans."
"WBGene00000795"	"crn-2 encodes a cell death-related nuclease, homologous to the magnesium-dependant TatD nuclease of E. coli; CRN-2 is required for normal levels of DNA degradation during apoptosis; crn-2(RNAi) 1.5-fold stage embryos display TUNEL labelling of nuclei that is five-fold higher than that seen in untreated N2 animals; CRN-2 promotes both DNA degradation and cell corpse engulfment, in a partially redundant pathway that includes CRN-3 but is parallel to CPS-6; CRN-2 is predicted to be mitochondrial."
"WBGene00000796"	"crn-3 encodes a cell death-related nuclease, homologous to the 100 kDa polymyositis/scleroderma autoantigen (PM/Scl-100), that is required for normal levels of DNA degradation during apoptosis; PM/Scl-100 is a ribonuclease component of the multiexonuclease exosome complex, which processes or degrades several types of RNAs in yeast; crn-3(RNAi) animals show retarded growth and a low penetrance of embryonic lethality; CRN-3 promotes both DNA degradation and cell corpse engulfment, in a partially redundant pathway that includes CRN-2 but is parallel to CPS-6; CRN-3 is predicted to be mitochondrial."
"WBGene00000787"	"cps-6 encodes an ortholog of human mitochondrial endonuclease G (EndoG) that promotes apoptosis, and is required to degrade nicked (TUNEL-positive) DNA in apoptotic cells; transgenic CPS-6 is localized to mitochondria, but transgenic CPS-6 lacking a mitochondrial localization sequence is found in nuclei, and nuclei may be the in vivo target of CPS-6 after its activation by CED-3; CPS-6 has magnesium-dependent nuclease activity in vitro and can degrade both single- and double-stranded DNA, as well as single-stranded RNA; CPS-6 also preferentially binds G-tract DNA in vitro; cps-6(sm116) and cps-6(RNAi) animals have delayed CED-3-induced apoptosis, and cps-6(sm116) suppresses a constitutively active ced-3 transgene; cps-6(sm116) can be transgenically rescued by mouse EndoG; CPS-6 binds WAH-1 (an apoptosis-inducing factor ortholog) in vitro, WAH-1 binding enhances CPS-6's endonuclease activity, and constitutive transgenic coexpression of cps-6 with wah-1 induces cell death not seen with constitutive expression of either cps-6 or wah-1 alone; CPS-6 binds CRN-1 (a flap endonuclease ortholog) in vitro, and may form a large complex in vivo with CRN-1, CRN-4, CRN-5, CYP-13, and WAH-1; CRN-1 enhances CPS-6's endonuclease activity in vitro, CPS-6 enhances CRN-1's gap-dependent endonuclease and 5'-3' exonuclease activities, and cps-6 is required for excess cell deaths induced by a crn-1 transgene."
"WBGene00004931"	"sod-2 encodes a iron/manganese superoxide dismutase, predicted to be mitochondrial, that might defend against oxidative stress and promote normal lifespan; sod-2 mRNA levels are diminished by mutation of daf-16, and heterologously expressed SOD-2 in E. coli protects against methyl viologen-induced oxidative stress."
"WBGene00004932"	"sod-3 encodes a iron/manganese superoxide dismutase, predicted to be mitochondrial, that might defend against oxidative stress and promote normal lifespan; sod-3 mRNA levels are diminished by mutation of daf-16 and chromatin immunoprecipitation (ChIP) studies demonstrate that DAF-16 can directly bind the sod-3 promoter; heterologously expressed SOD-3 in E. coli protects against methyl viologen-induced oxidative stress."
"WBGene00004954"	"spd-3 encodes a novel protein; spd-3 affects mitotic spindle formation and spindle positioning and thereby affects the first embryonic cell division; spd-3 also affects growth rate, fertility, vulval development, and polar body extrusion; spd-3 mutant animals also exhibit elevated ATP levels an SPD-3::GFP reporter fusion localized to mitochondria."
